,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_type
1051,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹8.34 Cr,"₹17,267 /sqft",3,3,3 BHK,4830,"4,830 sqft",,,North,RESALE,,2.0,,"Garden, Park","Check out this 3 bhk house for sale in sector-33 sohna, a popular residential locality that contains many of the in-Demand properties in gurgaon. Another plus point for the house is that it is situated near close to school, close to hospital and close to highway. This house occupies a super built up area of 4830 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. Your vehicle(s) can be...",Central Park Flower Valley,Central Park Flower Valley,North Facing Private Garden,House
1052,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹8.35 Cr,"₹17,287 /sqft",3,3,3 BHK,4830,"4,830 sqft",Covered,,North,RESALE,,2.0,,"Parking, Garden, Park","Looking to buy an independent house in gurgaon? Do check out this 3 bhk house in sector-33 sohna, which is an ideal choice for a family. Constructed on a super built up area of 4830 sq.Ft., this house comprises 3 bedrooms, 3 bathrooms and 2 balconies. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). As the property is already ready...",Central Park Flower Valley,Central Park Flower Valley,North Facing Private Garden,House
1053,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹8.35 Cr,"₹17,181 /sqft",3,3,3 BHK,4860,"4,860 sqft",,,East,RESALE,,2.0,,Park,"Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in sector-33 sohna, gurgaon and make it your new address. This residential house is located close to close to school, close to hospital and close to highway. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up ...",Central Park Flower Valley,Central Park Flower Valley,East Facing Vedanya Nearby,House
1054,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹8.35 Cr,"₹17,152 /sqft",3,3,3 BHK,4868,"4,868 sqft",,,North,RESALE,,2.0,,Park,"Looking to buy an independent house in gurgaon? Do check out this 3 bhk house in sector-33 sohna, which is an ideal choice for a family. Owing to its key locations, several landmarks like close to hospital, close to mall and close to highway are easily accessible. This house occupies a super built up area of 4868 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. This 3 bhk house come...",Central Park Flower Valley,Central Park Flower Valley,North Facing Medanta Nearby,House
1055,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹8.35 Cr,"₹17,181 /sqft",3,3,3 BHK,4860,"4,860 sqft",,,North,RESALE,,2.0,,"Garden, Park","Looking to buy an independent house in gurgaon? Do check out this 3 bhk house in sector-33 sohna, which is an ideal choice for a family. This residential property boasts proximity to key landmarks like close to hospital, close to mall and close to highway. Constructed on a super built up area of 4860 sq.Ft., this house comprises 3 bedrooms, 3 bathrooms and 2 balconies. This 3 bhk house comes at...",Central Park Flower Valley,Central Park Flower Valley,North Facing Private Garden,House
1056,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",Covered,,North-East,RESALE,,2.0,,"Parking, Park","Do you wish to buy an independent house in sector-33 sohna, gurgaon. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. The house has over super built up area of 4500 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. This 0-1 year old property is availabl...",Central Park Flower Valley,Central Park Flower Valley,North-East Facing Gated Society,House
1057,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,,RESALE,,2.0,,"Garden, Park","Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in sector-33 sohna, gurgaon and make it your new address. Owing to its key locations, several landmarks like close to hospital and close to highway are easily accessible. The house has over super built up area of 4500 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. The houses comes with...",Central Park Flower Valley,Central Park Flower Valley,Private Garden Medanta Nearby,House
1058,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,,RESALE,,2.0,,Park,"Do you wish to buy an independent house in sector-33 sohna, gurgaon. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. Another plus point for the house is that it is situated near close to hospital, close to school and close to highway. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over...",Central Park Flower Valley,Central Park Flower Valley,Vedanya Nearby Medanta Nearby,House
1059,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"Check out this 3 bhk house for sale in sector-33 sohna, a popular residential locality that contains many of the in-Demand properties in gurgaon. This residential property boasts proximity to key landmarks like close to hospital, close to school and close to highway. Containing 3 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a super built up area of 4500 sq.Ft. Th...",Central Park Flower Valley,Central Park Flower Valley,North Facing Vedanya Nearby,House
1060,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"Planning to buy an individual house in gurgaon. Then you should definitely check out this 3 bhk house for sale in sector-33 sohna, a well-Planned and well-Connected locality in gurgaon. Another plus point for the house is that it is situated near close to hospital, close to school, close to mall and close to highway. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. ...",Central Park Flower Valley,Central Park Flower Valley,North Facing Vedanya Nearby,House
1061,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"Looking to buy an independent house in gurgaon? Do check out this 3 bhk house in sector-33 sohna, which is an ideal choice for a family. The property's proximity to landmarks like close to hospital, close to school and close to mall makes it ideal property for families. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over...",Central Park Flower Valley,Central Park Flower Valley,North Facing Vedanya Nearby,House
1062,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"On the lookout for a spacious house in gurgaon? Go for this 3 bhk house for sale in sector-33 sohna, a well-Connected locality within gurgaon. This residential property boasts proximity to key landmarks like close to hospital, close to mall and close to highway. The house has over super built up area of 4500 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. The houses comes with de...",Central Park Flower Valley,Central Park Flower Valley,North Facing Medanta Nearby,House
1063,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"Sector-33 sohna is one of gurgaon's most sought after destination for residential houses and this 3 bhk house in sector-33 sohna is your opportunity to be a part of this community. This residential house is located close to close to school, close to hospital and close to highway. The house has over super built up area of 4500 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. Your v...",Central Park Flower Valley,Central Park Flower Valley,North Facing Vedanya Nearby,House
1064,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",Covered,,,RESALE,,2.0,,"Parking, Park","Do you wish to buy an independent house in sector-33 sohna, gurgaon. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. Containing 3 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a super built up area of 4500 sq.Ft. This 3 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). This 1-5 years old property is...",Central Park Flower Valley,Central Park Flower Valley,,House
1065,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,,,Park,"Planning to buy an individual house in gurgaon. Then you should definitely check out this 3 bhk house for sale in sector-33 sohna, a well-Planned and well-Connected locality in gurgaon. Another plus point for the house is that it is situated near close to hospital, close to school and close to highway. Constructed on a super built up area of 4500 sq.Ft., this house comprises 3 bedrooms, 3 bathr...",Central Park Flower Valley,Central Park Flower Valley,North Facing Vedanya Nearby,House
1066,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,,RESALE,,,,Park,"This 3 bhk house for sale in sector-33 sohna, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. The property's proximity to landmarks like close to school, close to hospital, close to highway and close to mall makes it ideal property for families. The house has over super built up area of 4500 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and ...",Central Park Flower Valley,Central Park Flower Valley,Vedanya Nearby Medanta Nearby,House
1067,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",Covered,,North,RESALE,,2.0,,"Parking, Park","This 3 bhk house for sale in sector-33 sohna is an ideal abode for a family. Even better, it is situated in one of the prominent localities of gurgaon. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 4500 sq.Ft. There is 1 covered & 1 open parking available with this house. Another added adva...",Central Park Flower Valley,Central Park Flower Valley,North Facing Gated Society,House
1068,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,"Garden, Park","Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in sector-33 sohna, gurgaon and make it your new address. Owing to its key locations, several landmarks like close to school, close to hospital and close to mall are easily accessible. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is sp...",Central Park Flower Valley,Central Park Flower Valley,North Facing Private Garden,House
1069,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,East,RESALE,,,,Park,"Planning to buy an individual house in gurgaon. Then you should definitely check out this 3 bhk house for sale in sector-33 sohna, a well-Planned and well-Connected locality in gurgaon. The property's proximity to landmarks like close to hospital and close to highway makes it ideal property for families. Constructed on a super built up area of 4500 sq.Ft., this house comprises 3 bedrooms, 3 bat...",Central Park Flower Valley,Central Park Flower Valley,East Facing Medanta Nearby,House
1070,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,East,RESALE,,2.0,,Park,"Sector-33 sohna is one of gurgaon's most sought after destination for residential houses and this 3 bhk house in sector-33 sohna is your opportunity to be a part of this community. This residential property boasts proximity to key landmarks like close to hospital, close to school and close to mall. Containing 3 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a super...",Central Park Flower Valley,Central Park Flower Valley,East Facing Vedanya Nearby,House
1071,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.89 Cr,"₹17,533 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"On the lookout for a spacious house in gurgaon? Go for this 3 bhk house for sale in sector-33 sohna, a well-Connected locality within gurgaon. Another plus point for the house is that it is situated near close to highway and close to mall. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 4500 ...",Central Park Flower Valley,Central Park Flower Valley,North Facing Gated Society,House
1072,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"Planning to buy an individual house in gurgaon. Then you should definitely check out this 3 bhk house for sale in sector-33 sohna, a well-Planned and well-Connected locality in gurgaon. Another plus point for the house is that it is situated near close to hospital and close to highway. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent hous...",Central Park Flower Valley,Central Park Flower Valley,North Facing Medanta Nearby,House
1073,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",Covered,,East,RESALE,,2.0,,"Parking, Park","Sector-33 sohna is one of gurgaon's most sought after destination for residential houses and this 3 bhk house in sector-33 sohna is your opportunity to be a part of this community. Constructed on a super built up area of 4500 sq.Ft., this house comprises 3 bedrooms, 3 bathrooms and 2 balconies. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your ...",Central Park Flower Valley,Central Park Flower Valley,East Facing Gated Society,House
1074,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in sector-33 sohna, gurgaon seems to be an ideal choice for a peaceful abode for a family. This residential house is located close to close to school and close to hospital. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent hous...",Central Park Flower Valley,Central Park Flower Valley,North Facing Vedanya Nearby,House
1075,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,East,RESALE,,,,Park,"Do you wish to buy an independent house in sector-33 sohna, gurgaon. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. The property's proximity to landmarks like close to hospital, close to school and close to highway makes it ideal property for families. Constructed on a super built up area of 4500 sq.Ft., this house comprises 3 bedrooms, 3 bathrooms and 2 bal...",Central Park Flower Valley,Central Park Flower Valley,East Facing Vedanya Nearby,House
1076,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.88 Cr,"₹17,511 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,East,RESALE,,,,Park,"Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in sector-33 sohna, gurgaon seems to be an ideal choice for a peaceful abode for a family. The property's proximity to landmarks like close to highway, close to mall and close to school makes it ideal property for families. This house occupies a super built up area of 4500 sq.Ft. An...",Central Park Flower Valley,Central Park Flower Valley,East Facing Vedanya Nearby,House
1077,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"This 3 bhk house for sale in sector-33 sohna, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. The property's proximity to landmarks like close to school, close to hospital and close to highway makes it ideal property for families. Containing 3 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a super built up area ...",Central Park Flower Valley Aqua Front Towers,Central Park Flower Valley Aqua Front Towers,North Facing Vedanya Nearby,House
1078,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in sector-33 sohna, gurgaon and make it your new address. Another plus point for the house is that it is situated near close to hospital, close to highway and close to mall. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a...",Central Park Flower Valley Aqua Front Towers,Central Park Flower Valley Aqua Front Towers,North Facing Medanta Nearby,House
1079,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.88 Cr,"₹17,511 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,,,Park,"Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in sector-33 sohna, gurgaon seems to be an ideal choice for a peaceful abode for a family. The property's proximity to landmarks like close to hospital, close to highway and close to mall makes it ideal property for families. The house has over super built up area of 4500 sq.Ft. And...",Central Park Flower Valley Aqua Front Towers,Central Park Flower Valley Aqua Front Towers,North Facing Medanta Nearby,House
1080,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,,,Park,"Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in sector-33 sohna, gurgaon seems to be an ideal choice for a peaceful abode for a family. This residential property boasts proximity to key landmarks like close to highway, close to mall and close to school. The house has over super built up area of 4500 sq.Ft. And comes with 3 bed...",Central Park Flower Valley Aqua Front Towers,Central Park Flower Valley Aqua Front Towers,North Facing Vedanya Nearby,House
1081,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,,RESALE,,2.0,,Park,"Check out this 3 bhk house for sale in sector-33 sohna, a popular residential locality that contains many of the in-Demand properties in gurgaon. This residential property boasts proximity to key landmarks like close to hospital and close to highway. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up ar...",Central Park Flower Valley,Central Park Flower Valley,Medanta Nearby Gated Society,House
1082,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",Covered,,North,RESALE,,2.0,,"Parking, Park","This 3 bhk house for sale in sector-33 sohna, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. Containing 3 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a super built up area of 4500 sq.Ft. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). Another a...",Central Park Flower Valley,Central Park Flower Valley,North Facing Gated Society,House
1083,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"This 3 bhk house for sale in sector-33 sohna, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. Owing to its key locations, several landmarks like close to school, close to hospital and close to mall are easily accessible. The house has over super built up area of 4500 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. Your vehicle...",Central Park Flower Valley,Central Park Flower Valley,North Facing Vedanya Nearby,House
1084,Independent House,"5 Bedroom House in Sector 63, Gurgaon","5 Bedroom House in Sector 63, Gurgaon",₹13 Cr,"₹46,296 /sqft",5,7,5 BHK,2700,"2,700 sqft",,,,RESALE,,,,Garden,"Ultra-Luxury 5 bhk villa sector 63, gurgaon Discover your dream home in the heart of gurgaons most sought-After address. This luxury 5 bhk villa in sector 63 is a rare combination of elegance, comfort, and modern living surrounded by greenery and designed with every premium feature you could ask for. Property details 5 spacious bedrooms thoughtfully designed with 3 grand master bedrooms, a dedi...",Anant Raj Manor Villas,Anant Raj Manor Villas,Furnished Private Garden,House
1085,Independent House,"18 Bedroom House in Sector 43, Gurgaon","18 Bedroom House in Sector 43, Gurgaon",₹9.5 Cr,"₹65,562 /sqft",18,18,18 BHK,1449,"1,449 sqft",,,,RESALE,,,,,This 161-Yard property is available in sector 43. It is currently commanding a rent of 5.50 lakh. It is located near the metro station sector 42-43. The asking price is currently 9.50 cr .,"Sector 43, Gurgaon","Sector 43, Gurgaon",,House
1086,Independent House,"5 Bedroom House in Sector 17A, Gurgaon","5 Bedroom House in Sector 17A, Gurgaon",₹12.5 Cr,"₹27,778 /sqft",5,5,5 BHK,4500,"4,500 sqft",,,,RESALE,,,,,House for sale plot size 500 square yards 18 meters road facing best location sector 17 a.,"Sector 17A, Gurgaon","Sector 17A, Gurgaon",Gated Society Overlooking Main Road,House
1087,Independent House,"6 Bedroom House in Greenwood City, Gurgaon","6 Bedroom House in Greenwood City, Gurgaon",₹33 Cr,"₹35,599 /sqft",6,7,6 BHK,9270,"9,270 sqft",,,,RESALE,,,,Lift,"Nss realtor presents you this two-Side open 1030 sq yd house (All top of the line furniture) in unitech greenwood city gated vicinity. Based on the prestigious golf course road and having a decade long experience, nss realtor will give you all confirmed and genuine real-Estate deals with utmost transparency and clarity. House description: 1030 sq yd 6br luxurious mansion with lift. Bst+gr+1st (...","Greenwood City, Gurgaon","Greenwood City, Gurgaon",,House
1088,Independent House,"3 Bedroom House in Sector 109, Gurgaon","3 Bedroom House in Sector 109, Gurgaon",₹10 Cr,"₹3,70,370 /sqft",3,3,3 BHK,270,270 sqft,,,,RESALE,,,,Garden,Sobha international villa on dwarka expressway near conscient mall near school near hospital near igi airport corner unit,Sobha International City Phase 3,Sobha International City Phase 3,Private Garden Gated Society,House
1089,Independent House,"4 Bedroom House in Sector 49, Gurgaon","4 Bedroom House in Sector 49, Gurgaon",₹2.3 Cr,"₹3,83,333 /sqft",4,4,4 BHK,60,60 sqft,,,North,RESALE,,,,Garden,Sector 49| premium property Rent: 1.5 lakhs/month Perfect for those seeking high rental yields or a prestigious address.,South City 2,South City 2,North Facing Private Garden,House
1090,Independent House,"2 Bedroom House in Sector 48, Gurgaon","2 Bedroom House in Sector 48, Gurgaon",₹2 Cr,"₹37,037 /sqft",2,2,2 BHK,540,540 sqft,,,North,RESALE,,,,,Sector 47 | premium property Best option for rental income Perfect for those seeking high rental yields or a prestigious address.,Vipul World,Vipul World,North Facing Millennium City Centre Nearby,House
1091,Independent House,"4 Bedroom House in Malibu Town, Gurgaon","4 Bedroom House in Malibu Town, Gurgaon",₹2.25 Cr,"₹41,667 /sqft",4,4,4 BHK,540,540 sqft,,,North,RESALE,,,,,Sector 47 | premium property Rent: 1.5 lakhs/month Perfect for those seeking high rental yields or a prestigious address.,Malibu Towne,Malibu Towne,North Facing Millennium City Centre Nearby,House
1092,Independent House,"4 Bedroom House in Malibu Town, Gurgaon","4 Bedroom House in Malibu Town, Gurgaon",₹2.35 Cr,"₹43,518 /sqft",4,4,4 BHK,540,540 sqft,,,North,RESALE,,,,,Sector 47| premium property Rent: 95000 per month Perfect for those seeking high rental yields or a prestigious address.,Malibu Towne,Malibu Towne,North Facing Millennium city centre Nearby,House
1093,Independent House,"5 Bedroom House in Sector 57, Gurgaon","5 Bedroom House in Sector 57, Gurgaon",₹5.25 Cr,"₹36,232 /sqft",5,5,5 BHK,1449,"1,449 sqft",,,,RESALE,,,,"Garden, Park",For sale 6bhk villa sector 57 gurugram haryana,"Sector 57, Gurgaon","Sector 57, Gurgaon",Private Garden Overlooking Park/Garden,House
1094,Independent House,"16 Bedroom House in Sector 55, Gurgaon","16 Bedroom House in Sector 55, Gurgaon",₹8.5 Cr,"₹58,661 /sqft",16,16,16 BHK,1449,"1,449 sqft",Built-up,4,North,RESALE,Fully Furnished,,,,Good rental income house sector 55 golf course road gurgaon property details 161 sqyd plot size corner house stilt with 4 floor builtup 4rk set x 4 floor 16rk set total fully furnished house hosue view front road 10 meter side road 12 meter road east north facing house entry 18 meter road 60 meter walking distence near by location 500 meter golf course road 55 56 rapid metro station 200 meter 1...,"Sector 55, Gurgaon","Sector 55, Gurgaon",North Facing SECTOR 55-56 REPID METRO Nearby,House
1095,Independent House,"7 Bedroom House in Sector 57, Gurgaon","7 Bedroom House in Sector 57, Gurgaon",₹12.25 Cr,"₹32,407 /sqft",7,9,7 BHK,3780,"3,780 sqft",,,,RESALE,,,Servant Room,Garden,7bhk 420sq.Yd duplex house with basement plus servant room well maintained 7 year old house in sector- 57 gurgaon close to m3m market and golf course ext road vastu perfect more details call us..,"Sector 57, Gurgaon","Sector 57, Gurgaon",Private Garden HDFC SCHOOL within 500m,House
1096,Independent House,"6 Bedroom House in Sector 57, Gurgaon","6 Bedroom House in Sector 57, Gurgaon",₹6.15 Cr,"₹28,711 /sqft",6,6,6 BHK,2142,"2,142 sqft",,,,RESALE,,,,,For sale 240sq.Yd floor wise independent house in sector 57 gurgaon gated pocket pre- Rented 80k per month more details call us..,"Sector 57, Gurgaon","Sector 57, Gurgaon",,House
1097,Independent House,"3 Bedroom House in Nirvana Country, Gurgaon","3 Bedroom House in Nirvana Country, Gurgaon",₹12.75 Cr,"₹59,028 /sqft",3,4,3 BHK,2160,"2,160 sqft",,,East,RESALE,,,,Garden,A 240 sqyd beautifully handcrafted villa for sale in nirvana espace. The villa is newly done up by the owner for self use and precisely designed.,Unitech Espace,Unitech Espace,East Facing Private Garden,House
1098,Independent House,"5 Bedroom House in South City 1, Gurgaon","5 Bedroom House in South City 1, Gurgaon",₹11.75 Cr,"₹36,265 /sqft",5,5,5 BHK,3240,"3,240 sqft",,,North-East,RESALE,,,,Garden,"The villa is in south city 1, it is 5bhk, basment ,ground floor is 1bhk first floor 2bhk & second floor 2bhk .Location is close to main road and accessible easily, it is a well-Ventilated and spacious floor of 5000 sqft. The house has muncipal supply. For any furthur information and site visit pls feel free to call","South City 1, Gurgaon","South City 1, Gurgaon",North-East Facing Private Garden,House
1099,Independent House,"9 Bedroom House in Sushant Lok Phase 1, Gurgaon","9 Bedroom House in Sushant Lok Phase 1, Gurgaon",₹10.95 Cr,"₹3,65,000 /sqft",9,9,9 BHK,300,300 sqft,,,North,RESALE,,,,Security,"With noc, this house is in sushant lok 1, location is close to main road and accessible easily . This location is densely populated and very well maintained by rwa , round the clock security . Huda city center metro station is less than 1 km from this location. This house is north facing which is vastu perfect. Schools , markets and hospitals is in the vicinity. For any furthur information and ...",Sushant Lok 1 Builder Floors,Sushant Lok 1 Builder Floors,North Facing Rain Water Harvesting,House
